time,temperature
2019-03-03 01:00:00,66.19
2019-03-03 01:15:00,66.06
2019-03-03 01:30:00,66.19
2019-03-03 01:45:00,66.12
2019-03-03 02:00:00,66.12
2019-03-03 02:15:00,66.13
2019-03-03 02:30:00,66.81
2019-03-03 02:45:00,67.36
2019-03-03 03:00:00,67.34
2019-03-03 03:15:00,67.34
2019-03-03 03:30:00,67.33
2019-03-03 03:45:00,67.30
2019-03-03 04:00:00,66.68
2019-03-03 04:15:00,67.12
2019-03-03 04:30:00,67.03
2019-03-03 04:45:00,66.72
2019-03-03 05:00:00,66.99
2019-03-03 05:15:00,67.15
2019-03-03 05:30:00,67.17
2019-03-03 05:45:00,66.51
2019-03-03 06:00:00,66.78
2019-03-03 06:15:00,66.99
2019-03-03 06:30:00,66.73
2019-03-03 06:45:00,66.43
2019-03-03 07:00:00,66.67
2019-03-03 07:15:00,66.87
2019-03-03 07:30:00,66.79
2019-03-03 07:45:00,66.56
2019-03-03 08:00:00,66.69
2019-03-03 08:15:00,66.66
2019-03-03 08:30:00,66.84
2019-03-03 08:45:00,66.90
2019-03-03 09:00:00,66.93
2019-03-03 09:15:00,66.75
2019-03-03 09:30:00,66.79
2019-03-03 09:45:00,66.82
2019-03-03 10:00:00,66.96
2019-03-03 10:15:00,66.91
2019-03-03 10:30:00,66.99
2019-03-03 10:45:00,66.78
2019-03-03 11:00:00,66.78
2019-03-03 11:15:00,66.87
2019-03-03 11:30:00,66.76
2019-03-03 11:45:00,66.74
2019-03-03 12:00:00,66.73
2019-03-03 12:15:00,66.62
2019-03-03 12:30:00,66.55
2019-03-03 12:45:00,66.42
2019-03-03 13:00:00,66.24
2019-03-03 13:15:00,66.12
2019-03-03 13:30:00,65.95
2019-03-03 13:45:00,66.10
2019-03-03 14:00:00,66.24
2019-03-03 14:15:00,66.32
2019-03-03 14:30:00,66.14
2019-03-03 14:45:00,66.02
2019-03-03 15:00:00,65.83
2019-03-03 15:15:00,65.86
2019-03-03 15:30:00,65.61
2019-03-03 15:45:00,65.71
2019-03-03 16:00:00,65.44
2019-03-03 16:15:00,65.50
2019-03-03 16:30:00,65.38
2019-03-03 16:45:00,65.30
2019-03-03 17:00:00,65.35
2019-03-03 17:15:00,65.34
2019-03-03 17:30:00,65.19
2019-03-03 17:45:00,65.17
2019-03-03 18:00:00,65.13
2019-03-03 18:15:00,65.25
2019-03-03 18:30:00,65.30
2019-03-03 18:45:00,65.23
2019-03-03 19:00:00,65.18
2019-03-03 19:15:00,65.13
2019-03-03 19:30:00,65.22
2019-03-03 19:45:00,65.20
2019-03-03 20:00:00,65.11
2019-03-03 20:15:00,65.11
2019-03-03 20:30:00,65.12
2019-03-03 20:45:00,65.14
2019-03-03 21:00:00,65.14
2019-03-03 21:15:00,65.10
2019-03-03 21:30:00,65.07
2019-03-03 21:45:00,65.11
2019-03-03 22:00:00,65.10
2019-03-03 22:15:00,65.10
2019-03-03 22:30:00,65.12
2019-03-03 22:45:00,65.08
2019-03-03 23:00:00,65.11
2019-03-03 23:15:00,65.28
2019-03-03 23:30:00,65.96
2019-03-03 23:45:00,66.21
2019-03-04 00:00:00,66.15
2019-03-04 00:15:00,66.14
2019-03-04 00:30:00,66.06
2019-03-04 00:45:00,65.36
2019-03-04 01:00:00,65.92
2019-03-04 01:15:00,65.54
2019-03-04 01:30:00,65.56
2019-03-04 01:45:00,65.71
2019-03-04 02:00:00,65.59
2019-03-04 02:15:00,65.61
2019-03-04 02:30:00,66.04
2019-03-04 02:45:00,65.66
2019-03-04 03:00:00,65.43
2019-03-04 03:15:00,65.66
2019-03-04 03:30:00,65.59
2019-03-04 03:45:00,65.53
2019-03-04 04:00:00,65.79
2019-03-04 04:15:00,65.49
2019-03-04 04:30:00,66.14
2019-03-04 04:45:00,66.49
2019-03-04 05:00:00,66.86
2019-03-04 05:15:00,67.02
2019-03-04 05:30:00,68.06
2019-03-04 05:45:00,69.85
2019-03-04 06:00:00,70.04
2019-03-04 06:15:00,71.47
2019-03-04 06:30:00,71.31
2019-03-04 06:45:00,71.74
2019-03-04 07:00:00,71.23
2019-03-04 07:15:00,72.10
2019-03-04 07:30:00,71.41
2019-03-04 07:45:00,72.20
2019-03-04 08:00:00,71.40
2019-03-04 08:15:00,72.16
2019-03-04 08:30:00,71.77
2019-03-04 08:45:00,72.26
2019-03-04 09:00:00,72.27
2019-03-04 09:15:00,72.61
